date,value
12/24/18,463
12/25/18,391
12/26/18,4146
12/27/18,763
12/28/18,2940
12/29/18,5092
12/30/18,795
12/31/18,1057
1/1/19,2229
1/2/19,1229
1/3/19,209
1/4/19,3831
1/5/19,3325
1/6/19,200
1/7/19,204
1/8/19,246
1/9/19,2314
1/10/19,3625
1/11/19,4105
1/12/19,462
1/13/19,1709
1/14/19,2572
1/15/19,1656
1/16/19,3391
1/17/19,1423
1/18/19,3346
1/19/19,1558
1/20/19,2714
1/21/19,1427
1/22/19,4992
1/23/19,3118
1/24/19,2101
1/25/19,1330
1/26/19,273
1/27/19,829
1/28/19,960
1/29/19,1909
1/30/19,1895
1/31/19,51
2/1/19,2622
2/2/19,1511
2/3/19,607
2/4/19,674
2/5/19,2757
2/6/19,1331
2/7/19,2957
2/8/19,1476
2/9/19,2409
2/10/19,1035
2/11/19,3670
2/12/19,639
2/13/19,2665
2/14/19,2578
2/15/19,4091
2/16/19,3385
2/17/19,1660
2/18/19,2412
2/19/19,2012
2/20/19,1320
2/21/19,4752
2/22/19,3113
2/23/19,210
2/24/19,556
2/25/19,2869
2/26/19,2397
2/27/19,2173
2/28/19,2662
3/1/19,1888
3/2/19,2532
3/3/19,532
3/4/19,2580
3/5/19,1102
3/6/19,97
3/7/19,2691
3/8/19,4781
3/9/19,1695.499135
3/10/19,1325.500865
3/11/19,5315
3/12/19,1835
3/13/19,737
3/14/19,1800
3/15/19,3600
3/16/19,1715
3/17/19,5385
3/18/19,3222
3/19/19,3306
3/20/19,1092
3/21/19,13599
3/22/19,8889.214088
3/23/19,13512.78591
3/24/19,3891
3/25/19,6839
3/26/19,4767
3/27/19,1704
3/28/19,5998
3/29/19,2697
3/30/19,1035
3/31/19,1788
4/1/19,5433
4/2/19,3530
4/3/19,1491
4/4/19,1206
4/5/19,5776
4/6/19,509
4/7/19,3619
4/8/19,2631
4/9/19,2608
4/10/19,869
4/11/19,2159
4/12/19,1323
4/13/19,3824
4/14/19,1935
4/15/19,1822
4/16/19,2588
4/17/19,1245
4/18/19,2711
4/19/19,1783
4/20/19,5765
4/21/19,920
4/22/19,2878
4/23/19,3187
4/24/19,2702
4/25/19,836
4/26/19,4893
4/27/19,2427
4/28/19,2687
4/29/19,796
4/30/19,2768
5/1/19,1945
5/2/19,1331
5/3/19,5731
5/4/19,1568
5/5/19,2222
5/6/19,5224
5/7/19,2955
5/8/19,7020
5/9/19,1716
5/10/19,5577
5/11/19,2102
5/12/19,1434
5/13/19,2108
5/14/19,3053
5/15/19,5150
5/16/19,526
5/17/19,4574
5/18/19,2332
5/19/19,2572
5/20/19,2219
5/21/19,3873
5/22/19,2975
5/23/19,1211
5/24/19,7681
5/25/19,6730
5/26/19,5696
5/27/19,907
5/28/19,4215
5/29/19,2030
5/30/19,2271
5/31/19,2852
6/1/19,3134
6/2/19,1183
6/3/19,3372
6/4/19,2478
6/5/19,11085
6/6/19,5130
6/7/19,14428
6/8/19,439
6/9/19,2366
6/10/19,3724
6/11/19,6558
6/12/19,3362
6/13/19,5380
6/14/19,3417
6/15/19,5408
6/16/19,966
6/17/19,3180
6/18/19,4547
6/19/19,3928
6/20/19,962
6/21/19,5903
6/22/19,5934
6/23/19,1160
6/24/19,2138
6/25/19,1684
6/26/19,5558
6/27/19,716
6/28/19,4094
6/29/19,271
6/30/19,1978
7/1/19,2574
7/2/19,3750
7/3/19,1200
7/4/19,299
7/5/19,2435
7/6/19,4730
7/7/19,420
7/8/19,589
7/9/19,764
7/10/19,1095
7/11/19,474
7/12/19,297
7/13/19,268
7/14/19,806
7/15/19,2470
7/16/19,558.9472958
7/17/19,4759.052704
7/18/19,788
7/19/19,1416
7/20/19,567
7/21/19,1411
7/22/19,3129
7/23/19,6528
7/24/19,3869
7/25/19,979
7/26/19,4484
7/27/19,166
7/28/19,1485
7/29/19,6465
7/30/19,2148
7/31/19,4948
8/1/19,963
8/2/19,2760
8/3/19,992
8/4/19,2990
8/5/19,1440
8/6/19,3037
8/7/19,2566
8/8/19,1413
8/9/19,3342
8/10/19,3486
8/11/19,1740
8/12/19,3955
8/13/19,2159
8/14/19,7018
8/15/19,1362
8/16/19,416
8/17/19,2212
8/18/19,1374
8/19/19,3787
8/20/19,2235
8/21/19,4755
8/22/19,2260
8/23/19,4116
8/24/19,147
8/25/19,723
8/26/19,3071
8/27/19,3858
8/28/19,558
8/29/19,4639
8/30/19,1569
8/31/19,5973
9/1/19,218
9/2/19,608
9/3/19,2902
9/4/19,5253
9/5/19,3357
9/6/19,8795
9/7/19,2468
9/8/19,3216
9/9/19,5682
9/10/19,3136
9/11/19,3378
9/12/19,4205
9/13/19,3651
9/14/19,2740
9/15/19,1478
9/16/19,5244
9/17/19,4031
9/18/19,1696
9/19/19,1167
9/20/19,4437
9/21/19,569
9/22/19,1368
9/23/19,2180
9/24/19,10672
9/25/19,8738
9/26/19,8888
9/27/19,4862
9/28/19,2730
9/29/19,3481
9/30/19,928
10/1/19,1696
10/2/19,4268
10/3/19,772
10/4/19,4528
10/5/19,1123
10/6/19,949
10/7/19,4195
10/8/19,6300
10/9/19,948
10/10/19,4447
10/11/19,2099
10/12/19,1189
10/13/19,3077
10/14/19,1544
10/15/19,3701
10/16/19,2587
10/17/19,4830
10/18/19,7261
10/19/19,8812
10/20/19,1172
10/21/19,2892
10/22/19,2180
10/23/19,8648
10/24/19,2984
10/25/19,3526
10/26/19,1231
10/27/19,2473
10/28/19,6415
10/29/19,2741
10/30/19,1786
10/31/19,2538
11/1/19,3890
11/2/19,352
11/3/19,4910
11/4/19,3755
11/5/19,4566
11/6/19,2251
11/7/19,3846
11/8/19,4004
11/9/19,3674
11/10/19,1845
11/11/19,2945
11/12/19,2314
11/13/19,2786
11/14/19,3740
11/15/19,6056
11/16/19,1797
11/17/19,1192
11/18/19,3738
11/19/19,4087
11/20/19,3290
11/21/19,4414
11/22/19,4891
11/23/19,1893
11/24/19,3921
11/25/19,4520
11/26/19,3286
11/27/19,4562
11/28/19,775
11/29/19,7324
11/30/19,3695
12/1/19,5111
12/2/19,3214
12/3/19,2782
12/4/19,2977
12/5/19,5472
12/6/19,10785
12/7/19,483
12/8/19,1012
12/9/19,3730
12/10/19,2707
12/11/19,2681
12/12/19,1570
12/13/19,1352
12/14/19,454
12/15/19,4263
12/16/19,2414
12/17/19,4827
12/18/19,2952
12/19/19,3160
12/20/19,5356
12/21/19,966
12/22/19,6356
12/23/19,4241
12/24/19,4582
12/25/19,1264
12/26/19,2403
12/27/19,794
12/28/19,7425
12/29/19,394
12/30/19,2959
12/31/19,1488
1/1/20,3593
1/2/20,834
1/3/20,2467
1/4/20,1469
1/5/20,4116
1/6/20,3565
1/7/20,5223
1/8/20,4192
1/9/20,3948
1/10/20,10392.17119
1/11/20,6748.828813
1/12/20,2889
1/13/20,5374
1/14/20,4428
1/15/20,3972
1/16/20,1690
1/17/20,5300
1/18/20,832
1/19/20,2659
1/20/20,1724
1/21/20,502
1/22/20,6989
1/23/20,2397
1/24/20,2648
1/25/20,8320
1/26/20,3638
1/27/20,4614
1/28/20,1578
1/29/20,4189
1/30/20,1684
1/31/20,7518
2/1/20,5735
